Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Sheraden,70,3321.0,338.300162578,61.0,46.5295604965,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,7.0,25.3771550809,8.0,25.3771550809,25.0,30.0,33.0,44.1814440687,83.0,66.3174185263,124.0,59.8832196863,81.0,57.0876519048,995.0,205.871319032,155.0,78.981010376,190.0,77.6723889165,455.0,126.838479966,424.0,141.830885212,446.0,127.914033631,169.0,86.9079973305,0.0,24.4948974278,65.0,64.8999229584
South Oakland,71,1256.0,204.494498703,49.0,43.439613258,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,18.0,33.7786915081,0.0,20.0,14.0,24.9799919936,27.0,38.1051177665,7.0,20.5182845287,230.0,98.4327181378,43.0,38.3405790254,87.0,54.3783044973,241.0,92.6606712689,67.0,56.2938717802,295.0,100.089959536,84.0,43.4165866922,40.0,30.7408522979,54.0,33.3016516107
South Shore,72,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,4,6,0,10,0,10
South Side Flats,73,4143.0,420.511593181,20.0,29.6816441593,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,10.0,26.9258240357,0.0,24.4948974278,6.0,25.3771550809,31.0,33.4514573673,28.0,30.4959013641,70.0,49.5479565674,11.0,28.0891438104,951.0,241.058084287,128.0,80.826975695,167.0,94.3345111823,193.0,90.4046458984,333.0,136.554018615,1185.0,208.160995386,559.0,139.631658301,303.0,110.521491123,148.0,73.4982993001
South Side Slopes,74,2991.0,367.422100587,19.0,28.3548937574,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,26.0,31.7017349683,12.0,27.6586333719,49.0,38.7814388594,47.0,40.4103947023,62.0,46.2817458617,959.0,226.077420368,146.0,70.0713921655,147.0,68.971008402,294.0,114.717043197,312.0,118.957975773,563.0,162.966254176,197.0,71.4912582068,109.0,74.0607858451,49.0,41.8568990729
Spring Garden,75,595.0,118.713941894,2.0,11.1803398875,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,41.0,34.4818792991,4.0,11.6619037897,31.0,21.2602916255,35.0,29.5296461205,21.0,19.7230829233,15.0,24.1660919472,244.0,73.0,44.0,27.2029410175,19.0,18.0277563773,37.0,31.7804971641,47.0,29.9666481275,32.0,22.2036033112,23.0,27.8567765544,0.0,14.1421356237,0.0,14.1421356237
Spring Hill-City View,76,1615.0,248.054429511,12.0,19.1049731745,0.0,17.3205080757,10.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,16.0,23.6854385647,0.0,17.3205080757,24.0,27.8028775489,9.0,19.8997487421,6.0,18.547236991,105.0,63.921827258,37.0,35.0142828,720.0,179.412931529,69.0,69.6060342212,57.0,36.7423461417,143.0,73.1915295646,107.0,51.8169856322,182.0,76.013156756,96.0,64.8768063332,13.0,21.3541565041,9.0,20.6155281281
Squirrel Hill North,77,5494.0,363.056469436,18.0,38.0788655293,0.0,31.6227766016,0.0,31.6227766016,14.0,37.2021504755,0.0,31.6227766016,10.0,34.0,0.0,31.6227766016,18.0,41.0365690573,0.0,31.6227766016,0.0,31.6227766016,11.0,34.0,13.0,31.7647603486,12.0,36.0555127547,14.0,34.6987031459,11.0,34.4818792991,313.0,113.247516529,16.0,33.7638860322,116.0,56.0446250767,339.0,101.965680501,118.0,70.1640933812,1346.0,192.265441513,1357.0,180.977899204,958.0,180.748443977,810.0,157.225952056
Squirrel Hill South,78,11164.0,636.661605565,9.0,36.1247837364,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,0.0,36.0555127546,12.0,44.5421149025,6.0,37.0000000001,0.0,36.0555127546,22.0,40.3360880602,19.0,48.342527861,36.0,43.783558558,13.0,36.8781778292,42.0,44.8664685485,86.0,62.5619692784,52.0,52.6212884678,1293.0,272.025734077,85.0,58.163562477,290.0,130.698125464,710.0,201.95296482,554.0,178.913386866,2941.0,347.73265593,2649.0,313.99840764,954.0,188.751158938,1391.0,248.660411001
St. Clair,79,163,51,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,0,10,0,10,12,12,69,42,5,7,11,7,3,5,30,24,8,8,19,22,0,10,0,10
Stanton Heights,80,3683.0,306.316829443,41.0,37.6430604495,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,21.0,23.1732604525,16.0,22.4722050542,51.0,40.7798970082,89.0,44.3395985548,57.0,48.5386443981,938.0,167.05089045,103.0,51.4878626475,258.0,93.4933152691,533.0,141.714501728,335.0,89.994444273,723.0,150.139934728,411.0,115.390640868,64.0,49.4165964024,43.0,30.0499584026
Strip District,81,611,101,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,18,0,10,0,10,41,29,47,34,263,74,112,47,92,75,35,26
Summer Hill,82,915,66,11,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,11,6,10,21,19,0,10,18,14,5,9,25,29,273,85,35,20,47,29,151,67,65,45,167,56,68,36,7,10,9,13
Swisshelm Park,83,971,93,26,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,18,22,17,31,28,27,18,203,61,37,23,11,11,84,29,79,35,190,53,197,70,27,20,21,17
Terrace Village,84,924.0,157.794169727,11.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,33.0,34.6554469024,23.0,22.1133443875,6.0,17.3205080757,38.0,42.4264068712,44.0,32.2024843762,19.0,20.4205778567,288.0,85.5394645763,83.0,53.860932038,126.0,71.95832127,89.0,51.6623654123,77.0,38.8458491991,11.0,16.2480768093,55.0,42.6731765867,21.0,43.3704968844,0.0,17.3205080757
Troy Hill,85,1874.0,289.822359386,9.0,17.2046505341,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,19.0,23.2594066992,9.0,16.4012194669,4.0,12.2065556157,31.0,29.1547594742,594.0,155.219199843,168.0,96.4002074687,72.0,44.283179651,308.0,104.690018626,133.0,75.2396172239,267.0,95.7548954362,117.0,51.4003891036,103.0,54.7083174664,40.0,50.6951674225
Upper Hill,86,1351.0,232.13142829,22.0,28.231188427,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,24.0,35.3977400408,21.0,31.3687742827,0.0,17.3205080757,26.0,30.2985148151,0.0,17.3205080757,291.0,95.4201236637,176.0,97.7650244208,91.0,54.4609952168,212.0,140.573824021,113.0,55.722526863,171.0,75.736384915,165.0,120.838735511,8.0,18.547236991,31.0,37.7491721763
Upper Lawrenceville,87,2028.0,277.758888246,41.0,49.355850717,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,7.0,17.9164728672,23.0,34.0734500748,44.0,39.37003937,23.0,26.7020598456,45.0,38.6522961802,519.0,138.343774707,144.0,84.6049643934,41.0,33.6452076825,366.0,157.492856981,121.0,64.7765389628,467.0,159.213692879,140.0,65.8634952003,30.0,29.9499582638,17.0,21.3541565041
West End,88,112,52,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,66,38,0,10,0,10,13,18,20,23,4,8,9,15,0,10,0,10
West Oakland,89,772.0,167.170571573,12.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,55.0,59.8414572015,12.0,19.7230829233,5.0,12.8062484749,128.0,50.6951674225,58.0,36.6742416418,57.0,49.040799341,127.0,69.5269731831,37.0,31.7804971641,161.0,72.4016574396,90.0,51.0392006207,15.0,22.360679775,15.0,27.8567765544
Westwood,90,2601.0,226.812698057,120.0,113.441614939,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,8.0,18.0277563773,9.0,17.2046505341,0.0,14.1421356237,26.0,26.9258240357,10.0,18.8679622641,60.0,48.5489443758,80.0,53.4883164813,20.0,21.6333076528,881.0,161.483745312,53.0,35.3411940941,65.0,41.1096095822,355.0,111.39569112,178.0,64.4127316608,535.0,123.239604024,162.0,75.1664818919,16.0,26.0,23.0,28.7923600978
Windgap,91,1026.0,179.301422192,12.0,19.7230829233,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,17.2046505341,0.0,14.1421356237,12.0,17.2046505341,0.0,14.1421356237,27.0,43.1740662898,0.0,14.1421356237,481.0,121.696343413,58.0,40.8044115262,57.0,29.5296461205,177.0,78.2943165243,110.0,72.2011080247,54.0,33.2415402772,29.0,34.4818792991,0.0,14.1421356237,0.0,14.1421356237
